Genes	P value (cut-off 0.05)
ACTA2	6.81361995115495e-82
COL1A1	3.22083243334123e-71
TAGLN	3.67077456556615e-61
COL1A2	2.03957707352581e-72
DCN	2.18014307954775e-78
COL3A1	2.64469006901497e-74
MYL9	4.80337152348906e-75
TPM2	8.43919956675498e-53
MEG3	1.053323330905e-16
BGN	7.73557730853418e-53
SPARC	3.07954066878318e-32
IGFBP7	1.77938340280296e-41
IGFBP3	9.27525761141587e-23
CYR61	6.26412603307119e-29
OLFML3	2.43195793647272e-61
IGFBP6	2.26197266094171e-36
CCL2	3.05989321474271e-26
COLEC11	9.75647534574963e-47
RBP1	3.75307934490258e-26
CTGF	9.34261371825333e-24
HGF	2.68975818262725e-25
INMT	8.49836938537499e-14
LUM	1.41362437085244e-46
PPP1R14A	4.0731117845266e-32
QSOX1	2.1892345772458e-31
LGALS3BP	1.53126305425934e-18
COL6A1	1.94645413923804e-35
SPAG9	0.00325417356535866
ECM1	1.68997516818917e-16
COL6A2	3.50542976615391e-40
FHL1	3.18485121766704e-19
TPM1	4.82908404346052e-29
VIPR1	3.46398558061478e-15
LTBP1	2.4758913478297e-18
EMILIN1	7.14753066565009e-25
PXDN	8.01048694465173e-14
IGFBP5	9.60850014084114e-27
PAQR7	6.81316039981803e-07
C7	3.16172483646819e-14
SIX5	1.52979254857912e-06
GLG1	0.00126730157156019
NEO1	7.62491260995022e-08
FLNA	7.57725637461448e-19
FAM65C	0.000203031373185457
COL4A2	8.15352984668633e-40
ITGA1	3.7568840342178e-07
C1QTNF1	1.72899001045079e-05
C11orf68	0.000605863926141095
MTMR3	0.000925367239638127
CXCL14	4.61981884293108e-12
CDKN1C	1.69546194460685e-09
TRIB2	0.00057579044773109
GGT5	1.5087211197332e-41
HEG1	0.000130780223710713
ZSWIM6	0.00193933855790962
ACTG2	2.25375632675474e-19
CARS2	0.00583497988616015
MICAL2	0.00666501690205319
AUTS2	0.00377680468892239
FBLN1	1.46271759013516e-17
DMD	0.000172585345190159
MYO6	0.00266732467604434
TRDMT1	0.00450080602593704
NEXN	2.05780536097807e-45
RYK	0.00035661012793927
FBLN5	8.39661060666251e-31
COMMD5	0.003647483398924
PRELP	4.05860663793464e-34
SMCR5	0.00116635210548629
LATS1	0.0097498868345183
RERE	0.000558603699922799
UBE2E2	1.00989060612517e-05
TCEAL1	1.19926261087865e-10
NRP1	0.000839533273769125
VAT1	0.00306147629392886
GDI1	0.00362438661070372
GSN	1.29738143904804e-06
TJP1	0.000157605757548224
COL6A3	7.85264873209092e-38
AP1S1	0.00126768177411136
TMEM11	0.000223483823909443
NDUFAF6	0.0111679745760497
STX16	0.0118774417637873
SLC35B2	0.00161687166301518
RPUSD3	0.00136084097763085
ZNF580	4.94144501542465e-06
NR2F2	3.99900434089633e-10
PLSCR4	0.0129353468995908
NPLOC4	0.0139146224695336
USP42	0.0164401947782155
ZNF518A	0.00438508706336225
EIF4A3	0.0481225965647953
GPX3	9.32159501025545e-11
RBM10	0.0349975794980244
TIMP3	4.39700401986201e-12
FILIP1L	5.07920923460702e-25
COL5A2	3.05585893910314e-36
FSTL1	1.17389924467081e-26
CLDN11	5.43585603932965e-13
CXCL12	6.11505907650073e-17
CRISPLD2	9.65075167080321e-28
TIMP2	6.50541487423044e-09
MAP1B	3.84062668942247e-31
DPT	2.4451542285729e-21
C11orf96	1.77264523674577e-17
UBE2L3	0.0167497508838845
GLMP	0.0234801521427158
GINM1	0.0119803727808931
LGALS8	0.00305945008382877
HMBOX1	0.00290282849453771
CRYAB	3.24075047308657e-29
PRKCDBP	3.85296915778607e-38
TM2D1	0.0135746121584272
S100A13	3.78153188298852e-15
BAZ2A	0.00682519567676144
PTRF	2.55689810809675e-23
SMCHD1	0.0494420074683039
HDAC2	0.000460573656245639
COL14A1	7.09504442338825e-43
NEMF	0.00206226297500146
OGN	3.78527314624754e-24
LMCD1	2.59181207311364e-17
PDGFRA	3.74050076902218e-29
EFEMP1	9.31198565208803e-21
UBE3B	0.00634944549647707
PLEKHA1	0.00449258933533843
PALLD	1.09676136326474e-17
IQSEC1	0.00594609067433831
BLCAP	0.0240286264980529
SOD3	3.41155149012376e-14
CTHRC1	1.65445122789233e-17
ZNF22	0.00118616555837131
COL5A1	5.86317028307735e-27
PSMD5	0.0281557602357162
ELN	2.34328054033548e-17
CAV1	7.48939280241564e-12
G0S2	0.0273060994494586
PTPRS	3.50860446693586e-14
LMOD1	1.54652827821828e-21
MFAP4	3.87482592251809e-37
ASPN	8.88528861889941e-41
LOXL1	2.13915998918479e-28
THBS2	1.20682831140725e-39
MLXIP	0.0132077778564913
TGFB1I1	2.54834146749764e-27
MEF2C	0.000206018224758687
AEBP1	3.07817711291856e-30
CCDC146	2.72069851266734e-18
HSPB6	6.31940848633914e-37
PLD3	0.000204276043870052
PPP4R3A	0.0159663515597741
ANGPTL1	4.36439492759545e-17
THY1	2.23652860639897e-29
CCL21	2.66559044941067e-07
SRPX	8.45467821558678e-13
NEURL1B	2.73722971525407e-17
LY6E	0.00780023710709744
SYNPO2	2.80282121319177e-25
FIBIN	8.86389027512886e-16
PTH1R	9.54554011296445e-25
FBN1	1.57525380102964e-22
CKB	3.9602328040547e-09
CYP4A22	9.0259005902398e-05
F3	1.28904625169881e-10
AGTR1	6.51986818152023e-09
XRRA1	0.0290963267292688
TUSC3	3.72593405847474e-16
WFDC1	5.96785843823908e-21
SGSM3	0.0397778661353387
PILRB	0.0159977425755636
PLAC9	1.06548414849536e-16
WISP2	2.09949018953406e-20
TIMP1	5.55779408259175e-15
COLEC10	3.53205283600962e-17
CSRP1	3.65166455105814e-14
STEAP4	3.48087339988131e-15
ZDHHC12	0.00821973315533078
LHFP	1.60123533824964e-08
DBH	1.74951479661268e-10
SERPINE1	9.06848096119737e-08
TACC1	0.00438320101868626
CTSF	0.0011594764995563
CTH	0.018445079621795
EDNRB	1.57884583388053e-12
ADAMTS2	3.45735182365815e-20
ARID5B	6.2711626653433e-13
CCDC80	4.4165534940362e-08
EFEMP2	1.21831681139872e-25
SCN7A	1.47080293238449e-09
TUBB6	3.64693714000104e-11
C2orf40	1.54801482018314e-12
HSPA2	2.98438519562242e-17
PTGDS	1.14167305190911e-14
PDLIM3	3.81778242443265e-18
LPP	5.67995849183756e-08
F5	0.00119168154978079
MECP2	0.00120654579582618
EMP1	3.29606594192589e-06
SELM	2.30893064176695e-15
ID4	1.73179788786721e-17
TMEM98	1.65210909625363e-15
MMP23B	2.20241634656356e-15
ADAMTS1	6.9183458604414e-08
NTRK2	1.95055155135633e-08
CCBE1	1.59324666194487e-20
CLEC11A	5.40304458031867e-17
SLC39A5	0.000635500694332926
FSTL3	1.5987927294975e-13
CERCAM	7.76563615373487e-21
CARMN	6.70691569321897e-25
ANK3	2.42821618972317e-11
COX7A1	1.9939301251016e-13
LARP4	0.0366965653438501
GEM	1.48884176259188e-26
HAND2	1.23974109176106e-24
TUBA1A	9.36732020979863e-14
PDLIM7	5.58574575427295e-16
IL1RL1	1.82833986036768e-11
MARCKSL1	3.79553359869249e-11
CNN1	1.16228977191832e-19
LAMB1	2.17140039435994e-13
MSRB3	8.39698103818605e-22
AMOTL2	2.72577609452451e-10
TTC39C	0.00466094511048879
MDK	3.93604457781861e-08
SERPINE2	5.37139909958043e-07
PDGFA	1.84119771991256e-11
LRRC17	1.04218435239373e-12
FKBP10	1.17886347530391e-14
MIR22HG	1.1262414919629e-11
PDAP1	0.00420735118415562
PTN	3.94628960078601e-14
SPRY1	7.8326947462673e-07
MXRA8	8.6889982282365e-31
